test_id,test_name,module,priority,preconditions,steps,expected_result,test_data,tags,page_name
TC_LOGIN_001,Valid login with standard_user credentials,saucedemo,P0,User is on the login page|Browser is open,Navigate to https://www.saucedemo.com|Enter 'standard_user' in username field|Enter 'secret_sauce' in password field|Click login-button,User is redirected to products page|URL contains '/inventory.html'|Products title is displayed,username=standard_user|password=secret_sauce,"smoke,login,positive,P0",LoginPage
TC_LOGIN_002,Invalid login with wrong password,saucedemo,P0,User is on the login page,Navigate to https://www.saucedemo.com|Enter 'standard_user' in username field|Enter 'wrong_password' in password field|Click login-button,User remains on login page|Error message is displayed|Error indicates invalid credentials,username=standard_user|password=wrong_password,"login,negative,security,P0",LoginPage
TC_LOGIN_003,Invalid login with wrong username,saucedemo,P0,User is on the login page,Navigate to https://www.saucedemo.com|Enter 'invalid_user' in username field|Enter 'secret_sauce' in password field|Click login-button,User remains on login page|Error message is displayed|Error indicates invalid credentials,username=invalid_user|password=secret_sauce,"login,negative,security,P0",LoginPage
TC_LOGIN_004,Login with locked_out_user should fail,saucedemo,P1,User is on the login page|locked_out_user account exists,Navigate to https://www.saucedemo.com|Enter 'locked_out_user' in username field|Enter 'secret_sauce' in password field|Click login-button,User remains on login page|Error message indicates user is locked out|Login is prevented,username=locked_out_user|password=secret_sauce,"login,negative,security,P1",LoginPage
TC_LOGIN_005,Login with empty username field,saucedemo,P1,User is on the login page,Navigate to https://www.saucedemo.com|Leave username field empty|Enter 'secret_sauce' in password field|Click login-button,User remains on login page|Error message indicates username is required|Login is prevented,username=|password=secret_sauce,"login,negative,validation,boundary,P1",LoginPage
TC_LOGIN_006,Login with empty password field,saucedemo,P1,User is on the login page,Navigate to https://www.saucedemo.com|Enter 'standard_user' in username field|Leave password field empty|Click login-button,User remains on login page|Error message indicates password is required|Login is prevented,username=standard_user|password=,"login,negative,validation,boundary,P1",LoginPage
TC_LOGIN_007,Login with both fields empty,saucedemo,P2,User is on the login page,Navigate to https://www.saucedemo.com|Leave username field empty|Leave password field empty|Click login-button,User remains on login page|Error message is displayed|Login is prevented,username=|password=,"login,negative,validation,boundary,P2",LoginPage
TC_LOGIN_008,Login with special characters in username,saucedemo,P2,User is on the login page,Navigate to https://www.saucedemo.com|Enter '<script>alert(1)</script>' in username field|Enter 'secret_sauce' in password field|Click login-button,User remains on login page|Error message is displayed|No script execution occurs|Application handles input safely,username=<script>alert(1)</script>|password=secret_sauce,"login,negative,security,edge-case,P2",LoginPage
TC_PRODUCTS_001,View products list after successful login,saucedemo,P0,User is logged in as standard_user,Login with standard_user credentials|Verify products page is displayed|Verify inventory-container is visible|Verify inventory-list contains products,Products page is displayed|Title shows 'Products'|Multiple inventory items are visible|Product names and prices are displayed,username=standard_user|password=secret_sauce,"products,positive,smoke,P0",ProductsPage
TC_PRODUCTS_002,Sort products by name A to Z,saucedemo,P1,User is logged in|User is on products page,Login with standard_user credentials|Click on product-sort-container dropdown|Select 'Name (A to Z)' option|Verify products are sorted alphabetically A-Z,Products are sorted alphabetically from A to Z|First product starts with earlier letter|active-option shows 'Name (A to Z)',sort_option=az,"products,sorting,positive,P1",ProductsPage
TC_PRODUCTS_003,Sort products by name Z to A,saucedemo,P1,User is logged in|User is on products page,Login with standard_user credentials|Click on product-sort-container dropdown|Select 'Name (Z to A)' option|Verify products are sorted alphabetically Z-A,Products are sorted alphabetically from Z to A|First product starts with later letter|active-option shows 'Name (Z to A)',sort_option=za,"products,sorting,positive,P1",ProductsPage
TC_PRODUCTS_004,Sort products by price low to high,saucedemo,P1,User is logged in|User is on products page,Login with standard_user credentials|Click on product-sort-container dropdown|Select 'Price (low to high)' option|Verify products are sorted by price ascending,Products are sorted by price from lowest to highest|First product has lowest price|active-option shows 'Price (low to high)',sort_option=lohi,"products,sorting,positive,P1",ProductsPage
TC_PRODUCTS_005,Sort products by price high to low,saucedemo,P1,User is logged in|User is on products page,Login with standard_user credentials|Click on product-sort-container dropdown|Select 'Price (high to low)' option|Verify products are sorted by price descending,Products are sorted by price from highest to lowest|First product has highest price|active-option shows 'Price (high to low)',sort_option=hilo,"products,sorting,positive,P1",ProductsPage
